sku,validation,issue_types,severity,details,recommendation
WSP5786BN,partially_verified,length_violation_short,medium,"Short description is 169 characters and exceeds the practical brevity band for catalog copy.","Trim the lead line and keep the producer/story hook tighter."
WWW0047AC,partially_verified,template_language_leak,medium,"Copy contains template-style phrases such as ''The story is'' and ''The available evidence''.","Rewrite with more natural, SKU-specific prose."
WWW0080AH,partially_verified,template_language_leak,medium,"Copy contains template-style phrasing such as ''range-level'' and ''kept range-led rather than over-specific''.","Replace range-summary language with a product-specific story."
WWW0196AD,verified,"length_violation_short;length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Short description is 157 characters; full description is 526 characters; review_notes are blank; no live record ID present.","Shorten both description fields, add validation rationale, and populate the live ID before release."
WWW1231AE,partially_verified,"template_language_leak;length_violation_full",medium,"Copy uses template phrasing such as ''The exact SKU name is not surfaced''; full description is 587 characters.","Replace the leakage phrase and condense the long-form narrative."
WWW1789AD,verified,"length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Full description is 509 characters; review_notes are blank; no live record ID present.","Add a validation note, tighten the full copy, and add the live ID."
WWW2216BU,verified,"missing_validation_rationale;missing_live_record_id",high,"review_notes are blank and no live record ID is present.","Add a validation rationale and the live ID before upload."
WWW2217BU,verified,"length_violation_short;length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Short description is 156 characters; full description is 578 characters; review_notes are blank; no live record ID present.","Shorten the copy, add rationale, and populate the live ID."
WWW2311AB,verified,"missing_validation_rationale;missing_live_record_id",high,"review_notes are blank and no live record ID is present.","Add validation rationale and live ID."
WWW2411DD,verified,"missing_validation_rationale;missing_live_record_id",high,"review_notes are blank and no live record ID is present.","Add validation rationale and live ID."
WWW2412DD,verified,"template_language_leak;length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Copy uses template phrasing such as ''The story is less about''; full description is 529 characters; review_notes are blank; no live record ID present.","Rewrite to remove template phrasing, shorten the long copy, and add rationale plus live ID."
WWW2417DD,verified,"missing_validation_rationale;missing_live_record_id",high,"review_notes are blank and no live record ID is present.","Add validation rationale and live ID."
WWW4887BS,verified,"length_violation_short;missing_validation_rationale;missing_live_record_id",high,"Short description is 161 characters; review_notes are blank; no live record ID present.","Trim the short description and add validation rationale plus live ID."
WWW5113FJ,partially_verified,template_language_leak,medium,"Copy uses template phrasing such as ''The available evidence presents'' and ''The exact region varies''.","Replace generic evidence language with a more natural product narrative."
WWW5368BN,verified,"length_violation_short;length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Short description is 151 characters; full description is 604 characters; review_notes are blank; no live record ID present.","Shorten both description fields and add rationale plus live ID."
WWW5373AB,partially_verified,"template_language_leak;length_violation_short;length_violation_full",medium,"Copy uses template phrasing such as ''The story is one of'' and ''The strongest evidence points''; short description is 152 characters and full description is 529 characters.","Rewrite the template phrasing and trim both description fields."
WWW5443EI,verified,"length_violation_short;length_violation_full;missing_validation_rationale;missing_live_record_id",high,"Short description is 155 characters; full description is 504 characters; review_notes are blank; no live record ID present.","Shorten the copy, add rationale, and populate the live ID."
