current_name,proposed_name,entity_type,issue_type,confidence,rationale
"""Tormaresca"" By","Tormaresca",producer,truncated_wrapper,0.99,"Current name includes a stray opening quote and trailing wrapper text; the clean producer entity is the house name Tormaresca."
"Piper-Heidsieck Cuvee","Piper-Heidsieck",producer,product_suffix,0.95,"'Cuvee' is a cuvée/style descriptor, not part of the producer name; the producer entity should collapse to Piper-Heidsieck."
"Bellavista Cuvee","Bellavista",producer,product_suffix,0.88,"The entity includes a product-line descriptor. Bellavista is the cleaner producer-level name and matches the underlying house identity."
"Concha Y","Concha y Toro",producer,truncated_name,0.97,"The current name is truncated; the producer is clearly Concha y Toro."
"Gonzalez Byass Winery (Tio Pepe) Sherry","Gonzalez Byass",producer,mixed_entity,0.91,"This combines producer, trademark, and category terms into one entity. The producer should be normalized to Gonzalez Byass."
"Dom Perignon","Dom Pérignon",producer,orthography,0.98,"This is a straightforward spelling/accent normalization for the producer name."
"Chateau Riviere Cuvee Prestige","Chateau Riviere",brand,product_suffix,0.84,"'Cuvee Prestige' reads like a product-level label attached to the house name; the brand entity should be simplified."
"Craggy Range  Sophia Gimblett Gravels","Craggy Range",brand,product_suffix,0.96,"The current entity combines brand, cuvée, and vineyard naming. The brand-level entity should be Craggy Range."
"Craggy Range  Syrah Gimblett Gravels Vineyard","Craggy Range",brand,product_suffix,0.96,"This is a product/vineyard string, not a brand name; it should collapse to the brand Craggy Range."
"Fattoria Aldobrandesca By Antinori  Vie Cave","Fattoria Aldobrandesca",brand,byline_suffix,0.93,"The 'By Antinori' wrapper and product cue 'Vie Cave' are not brand-level identity; the core brand is Fattoria Aldobrandesca."
"Haras De Pirque By Antinori","Haras de Pirque",brand,byline_suffix,0.93,"The producer/brand should be the property name Haras de Pirque, without the Antinori byline wrapper."
"Johnnie Walker  Gold Label Reserve Gift Pack","Johnnie Walker Gold Label Reserve",brand,packaging_suffix,0.98,"'Gift Pack' is packaging metadata and should not be part of the entity name; the brand/range is Johnnie Walker Gold Label Reserve."
"Louis Latour  Corton Grand Cru ""Domaine Latour""","Louis Latour",brand,product_suffix,0.90,"The current name mixes producer, cru, and quoted label text. The brand entity should be normalized to Louis Latour."
"Pomerol By","Pomerol",brand,appellation_as_brand,0.72,"This looks like an incomplete or misparsed label that collapses to the appellation Pomerol; confidence is lower because it may be a private-label construct."
"Diageo Special Release Collection","Special Releases",brand,collection_suffix,0.80,"'Diageo' is the corporate parent and 'Collection' is packaging/series language; the customer-facing entity should be the Special Releases range."
